answer,clue
ETHOSUXIMIDE,'an anticonvulsant drug (trade names Emeside and Zarontin) used to treat petit mal epilepsy'
KILLER,'someone who causes the death of a person or animal'
CAYENNE,'a long and often twisted hot red pepper'
PANDAR,'someone who procures customers for whores (in England they call a pimp a ponce)'
WHISKERS,'the hair growing on the lower part of a man\'s face'
IMMORTELLE,'mostly widely cultivated species of everlasting flowers having usually purple flowers
CHICKEREE,'far western United States counterpart of the red squirrel'
LEONE,'the basic unit of money in Sierra Leone
NOVELTY,'originality by virtue of being refreshingly novel'
CAMPION,'any plant of the genus Silene'
TROPE,'language used in a figurative or nonliteral sense'
THYROTROPIN,'anterior pituitary hormone that stimulates the function of the thyroid gland'
EDIBLENESS,'the property of being fit to eat'
HANDICAP,'advantage given to a competitor to equalize chances of winning'
HEXAGRAM,'a regular polygon formed by extending each of the sides of a regular hexagon to form two equilateral triangles'
MENSES,'the monthly discharge of blood from the uterus of nonpregnant women from puberty to menopause
RATLIN,'(nautical) a small horizontal rope between the shrouds of a sailing ship
FOILING,'an act of hindering someone\'s plans or efforts'
DYNAMOMETER,'measuring instrument designed to measure power'
HOMOPHILE,'someone who is sexually attracted to persons of the same sex'
MUDHIF,'a reed hut in the marshlands of Iraq
NICKELODEON,'a cabinet containing an automatic record player
TEDIOUSNESS,'dullness owing to length or slowness'
UBIETY,'the state of existing and being localized in space'
DASYMETER,'densimeter consisting of a thin glass globe that is weighed in a gas to determine its density'
MODELLING,'the act of representing something (usually on a smaller scale)'
EPITOPE,'the site on the surface of an antigen molecule to which an antibody attaches itself'
QUICHE,'a tart filled with rich unsweetened custard
AURICULARE,'the craniometric point at the center of the opening of the external acoustic meatus'
WOOLSORTER,'a person who sorts wool into different grades'
TYPOGRAPHY,'the craft of composing type and printing from it'
PROBE,'an exploratory action or expedition'
RETINAL,'either of two yellow to red retinal pigments formed from rhodopsin by the action of light'
SOUTANE,'a long cassock with buttons down the front
MENINGES,'a membrane (one of 3) that envelops the brain and spinal cord'
BLACKING,'a substance used to produce a shiny protective surface on footwear'
CORRECTIONS,'the social control of offenders through a system of imprisonment and rehabilitation and probation and parole'
SEMITRANCE,'a trancelike state in which the person can follow instructions but voluntary action is weak or absent'
UNMASKING,'the exposure of an impostor or a fraud
DARAF,'a unit of elastance equal to the reciprocal of a farad'
SKYROCKET,'sends a firework display high into the sky'
SURRENDERER,'a person who yields or surrenders'
LIFTOFF,'the initial ascent of a rocket from its launching pad'
WEAKENER,'that which weakens or causes a loss of strength
ATOPY,'an allergic reaction that becomes apparent in a sensitized person only minutes after contact'
EPICONDYLE,'a projection on a bone above a condyle serving for the attachment of muscles and ligaments'
TORERO,'a matador or one of the supporting team during a bull fight'
AMRINONE,'a drug (trade name Inocor) used intravenously in heart failure
PARAMETER,'a constant in the equation of a curve that can be varied to yield a family of similar curves'
FEMININE,'a gender that refers chiefly (but not exclusively) to females or to objects classified as female'
HOMOPHOBIA,'prejudice against (fear or dislike of) homosexual people and homosexuality'
NITRATE,'any compound containing the nitrate group (such as a salt or ester of nitric acid)'
PROLAPSE,'the slipping or falling out of place of an organ (as the uterus)'
QUIRT,'whip with a leather thong at the end'
PASTICHE,'a work of art that imitates the style of some previous work'
MONITOR,'someone who supervises (an examination)'
DOCTORFISH,'surgeon fish of the West Indies'
LEISTER,'a spear with three or more prongs
BENZOATE,'any salt or ester of benzoic acid'
PETROLEUM,'a dark oil consisting mainly of hydrocarbons'
MATRISIB,'one related on the mother\'s side'
PEAT,'partially carbonized vegetable matter saturated with water
SPODUMENE,'a pyroxene mineral consisting of lithium aluminum silicate
DECEIVER,'someone who leads you to believe something that is not true'
PAIGLE,'Eurasian primrose with yellow flowers clustered in a one-sided umbel'
TUGGER,'someone who pulls or tugs or drags in an effort to move something'
TRUSTINESS,'the trait of deserving trust and confidence'
MAYONNAISE,'egg yolks and oil and vinegar'
RAMROD,'a rod used to ram the charge into a muzzle-loading firearm'
LECHERY,'unrestrained indulgence in sexual activity'
PROPANAMIDE,'the amide of propionic acid (C2H5CONH2)'
DIALECTICS,'a rationale for dialectical materialism based on change through the conflict of opposing forces'
FLYSWATTER,'an implement with a flat part (of mesh or plastic) and a long handle
SWANNECK,'any of several orchids of the genus Cycnoches having slender arching columns of flowers suggesting the neck of a swan'
EMOLUMENT,'compensation received by virtue of holding an office or having employment (usually in the form of wages or fees)
VARIABILITY,'the quality of being subject to variation'
COPROLALIA,'an uncontrollable use of obscene language
SERJEANT,'an English barrister of the highest rank'
ANNOYANCE,'the psychological state of being irritated or annoyed'
HARLOT,'a woman who engages in sexual intercourse for money'
PACER,'a horse used to set the pace in racing'
FOXTAIL,'grasses of the genera Alopecurus and Setaria having dense silky or bristly brushlike flowering spikes'
DINNERTIME,'the customary or habitual hour for the evening meal'
ADAPTABILITY,'the ability to change (or be changed) to fit changed circumstances'
BOOKBINDER,'a worker whose trade is binding books'
HESITATION,'indecision in speech or action'
CORONA,'the outermost region of the sun\'s atmosphere
TUMIDITY,'slight swelling of an organ or part'
PETARD,'an explosive device used to break down a gate or wall'
ANEMOMETRY,'measuring wind speed and direction'
CASSINO,'a card game in which cards face up on the table are taken with eligible cards in the hand'
MALONYLUREA,'a white crystalline acid derived from pyrimidine
RAMMER,'a tool for driving something with force'
REBUKE,'an act or expression of criticism and censure
GREY,'clothing that is a grey color
ENCEPHALITIS,'inflammation of the brain usually caused by a virus
ARTICULATION,'the aspect of pronunciation that involves bringing articulatory organs together so as to shape the sounds of speech'
GALLUS,'elastic straps that hold trousers up (usually used in the plural)'
SAVANT,'someone who has been admitted to membership in a scholarly field'
SHITTAH,'source of a wood mentioned frequently in the Bible
CUTPURSE,'a thief who steals from the pockets or purses of others in public places'
PROMETHIUM,'a soft silvery metallic element of the rare earth group having no stable isotope
RECOUNT,'an additional (usually a second) count
SUNDOWN,'the time in the evening at which the sun begins to fall below the horizon'
SMALTITE,'a grey mineral consisting of cobalt arsenide and nickel
CHATTERER,'passerine bird of New World tropics'
HYPEROPIA,'abnormal condition in which vision for distant objects is better than for near objects'
HARDENING,'abnormal hardening or thickening of tissue'
CRAPPER,'a plumbing fixture for defecation and urination'
SABLE,'an artist\'s brush made of sable hairs'
FIVE,'the cardinal number that is the sum of four and one'
IRIDIUM,'a heavy brittle metallic element of the platinum group
OILRIG,'rig used in drilling for oil or gas'
SMORGASBORD,'a collection containing a variety of sorts of things
ASCOT,'a cravat with wide square ends
DECODER,'a machine that converts a coded text into ordinary language'
CERUMEN,'a soft yellow wax secreted by glands in the ear canal'
CHIPMUNK,'a burrowing ground squirrel of western America and Asia
MERGER,'the combination of two or more commercial companies'
TURQUOISE,'a shade of blue tinged with green'
SOUPINESS,'falsely emotional in a maudlin way'
BUNCE,'a sudden happening that brings good fortune (as a sudden opportunity to make money)
FARTING,'a reflex that expels intestinal gas through the anus'
POGEY,'money received from the state'
MARQUETRY,'inlaid veneers are fitted together to form a design or picture that is then used to ornament furniture'
SELVAGE,'the edge of a fabric that is woven so that it will not ravel or fray'
DAMSELFISH,'small brilliantly colored tropical marine fishes of coral reefs'
DENTURIST,'someone who makes dental appliances (bridges and dentures)'
ACTOMYOSIN,'a protein complex in muscle fibers
ROOD,'representation of the cross on which Jesus died'
GLOBIGERINA,'marine protozoan having a rounded shell with spiny processes'
PHALAROPE,'small sandpiper-like shorebird having lobate toes and being good swimmers
COLLOCATION,'a grouping of words in a sentence'
NICTITATION,'a reflex that closes and opens the eyes rapidly'
ANACONDA,'large arboreal boa of tropical South America'
JAUNT,'a journey taken for pleasure
ZOOLOGY,'the branch of biology that studies animals'
BARRELHOUSE,'a cheap drinking and dancing establishment'
LEGER,'a record in which commercial accounts are recorded
BAKESHOP,'a workplace where baked goods (breads and cakes and pastries) are produced or sold'
COSMETIC,'a toiletry designed to beautify the body'
KOPJE,'a small hill rising up from the African veld'
SERVITOR,'someone who performs the duties of an attendant for someone else'
SHINER,'a swollen bruise caused by a blow to the eye'
INTENSION,'what you must know in order to determine the reference of an expression'
MEDULLA,'lower or hindmost part of the brain
GALLINACEAN,'heavy-bodied largely ground-feeding domestic or game birds'
LOCALITY,'a surrounding or nearby region
BOCCIE,'Italian bowling played on a long narrow dirt court'
RANSOM,'payment for the release of someone'
QUICK,'any area of the body that is highly sensitive to pain (as the flesh underneath the skin or a fingernail or toenail)'
LEXICON,'a language user\'s knowledge of words'
PATSY,'a person who is gullible and easy to take advantage of'
ECHINOCOCCUS,'tapeworms whose larvae are parasitic in humans and domestic animals'
GUACAMOLE,'a dip made of mashed avocado mixed with chopped onions and other seasonings'
CRANE,'lifts and moves heavy objects
COLLOID,'a mixture with properties between those of a solution and fine suspension'
DEPLETION,'the act of decreasing something markedly'
AMATEURISM,'the conviction that people should participate in sports as a hobby (for the fun of it) rather than for money'
BLUDGEONER,'an assailant who uses a bludgeon'
TOXICOLOGY,'the branch of pharmacology that deals with the nature and effects and treatments of poisons'
MASCARA,'makeup that is used to darken and thicken the eye lashes'
ZAKAT,'the fourth pillar of Islam is almsgiving as an act of worship
MODIOLUS,'the central conical bony pillar of the cochlea'
SPINEL,'a hard glassy mineral consisting of an oxide of magnesium and aluminum
COLLECTIVE,'members of a cooperative enterprise'
TAMPON,'plug of cotton or other absorbent material
BONHOMIE,'a disposition to be friendly and approachable (easy to talk to)'
ESCARP,'a steep artificial slope in front of a fortification'
HAGIOLOGIST,'the author of a worshipful or idealizing biography'
MAKEUP,'cosmetics applied to the face to improve or change your appearance'
MILLENARISM,'belief in the Christian doctrine of the millennium mentioned in the Book of Revelations'
TOWEL,'a rectangular piece of absorbent cloth (or paper) for drying or wiping'
QUAG,'a soft wet area of low-lying land that sinks underfoot'
ELYTRON,'either of the horny front wings in beetles and some other insects which cover and protect the functional hind wings'
MOCKER,'someone who jeers or mocks or treats something with contempt or calls out in derision'
ANTITRADES,'wind in the upper atmosphere blowing above but in the opposite direction from the trade winds'
SCURRY,'rushing about hastily in an undignified way'
TOMFOOL,'a person who lacks good judgment'
PREMOLAR,'a tooth having two cusps or points
GLOCHID,'a barbed spine or bristle (often tufted on cacti)'
BEANFEAST,'an annual dinner party given by an employer for the employees'
FEIGNING,'the act of giving a false appearance
SPANNER,'a hand tool that is used to hold or twist a nut or bolt'
AUTHORITY,'the power or right to give orders or make decisions
SHIPBUILDER,'a person who builds ships as a business'
FLEABANE,'any of several North American plants of the genus Erigeron having daisylike flowers
GALLIUM,'a rare silvery (usually trivalent) metallic element
TOMBAK,'an alloy of copper and zinc (and sometimes arsenic) used to imitate gold in cheap jewelry and for gilding'
MOTORIST,'someone who drives (or travels in) an automobile'
KINESCOPE,'a cathode-ray tube in a television receiver
PHOTON,'a quantum of electromagnetic radiation
DIAGLYPH,'glyptic art consisting of a sunken or depressed engraving or carving on a stone or gem (as opposed to cameo)'
HOLDOUT,'a negotiator who hopes to gain concessions by refusing to come to terms
PITFALL,'an unforeseen or unexpected or surprising difficulty'
ARMILLA,'a celestial globe consisting of metal hoops
PINOCLE,'a card game played with a pack of forty-eight cards (two of each suit for high cards)
IDIOLECT,'the language or speech of one individual at a particular period in life'
PARALEGAL,'a person with specialized training who assists lawyers'
BLUES,'a type of folksong that originated among Black Americans at the beginning of the 20th century
SKEWNESS,'an oblique or slanting asymmetry'
APHERESIS,'a procedure in which blood is drawn and separated into its components by dialysis
EPONYMY,'the derivation of a general name from that of a famous person'
BRIDGEHEAD,'an area in hostile territory that has been captured and is held awaiting further troops and supplies
SECATEURS,'small pruning shears with a spring that holds the handles open and a single blade that closes against a flat surface'
COLLABORATOR,'someone who assists in a plot'
HETEROZYGOTE,'(genetics) an organism having two different alleles of a particular gene and so giving rise to varying offspring'
CHIMNEY,'a glass flue surrounding the wick of an oil lamp'
ALUM,'a person who has received a degree from a school (high school or college or university)'
CLIQUE,'an exclusive circle of people with a common purpose'
PROLEGOMENON,'a preliminary discussion inserted at the beginning of a book or treatise'
LIKING,'a feeling of pleasure and enjoyment
DYEWOOD,'any wood from which dye is obtained'
ADACTYLIA,'congenital absence of fingers and/or toes'
INSANITY,'relatively permanent disorder of the mind'
PINGER,'a pulse generator used for echo sounding in sonar'
PROFLIGACY,'the trait of spending extravagantly'
FIREBOMB,'a bomb that is designed to start fires
RHENIUM,'a rare heavy polyvalent metallic element that resembles manganese chemically and is used in some alloys
SHOOFLY,'an undercover police officer who investigates other policemen'
WIRER,'someone who sends a telegram'
THUNDERBIRD,'(mythology) the spirit of thunder and lightning believed by some Native Americans to take the shape of a great bird'
CAPTOR,'a person who captures and holds people or animals'
MADNESS,'obsolete terms for legal insanity'
TABOOLI,'a finely chopped salad with tomatoes and parsley and mint and scallions and bulgur wheat'
RENIN,'a proteolytic enzyme secreted by the kidneys
RAVENALA,'giant treelike plant having edible nuts and leafstalks that yield a refreshing drink of clear watery sap
TAILOR,'a person whose occupation is making and altering garments'
MENACE,'something that is a source of danger
ANAPLASMOSIS,'a disease of cattle that is transmitted by cattle ticks
HELLION,'a rowdy or mischievous person (usually a young man)
TREMATODE,'parasitic flatworms having external suckers for attaching to a host'
FARAWAYNESS,'the property of being remote'
PACESETTER,'a leading instance in its field
DECAMETER,'a metric unit of length equal to ten meters'
SUSURRUS,'the indistinct sound of people whispering
ILLEGIBILITY,'the quality of writing (print or handwriting) that cannot be deciphered'
GRISAILLE,in shades of grey imitating the effect of relief'
BATTERCAKE,'a flat cake of thin batter fried on both sides on a griddle'
ALLERGIST,'a physician skilled in the diagnosis and treatment of allergies'
TATOUAY,'naked-tailed armadillo of tropical South America'
ANISEED,used medicinally and in cooking and liquors'
PROCURATOR,'a person authorized to act for another'
EVAPOROMETER,'an instrument that measures rate of evaporation of water'
SHARE,'assets belonging to or due to or contributed by an individual person or group
ROCCELLA,'a source of the dye archil and of litmus'
LARCENER,'a person who commits larceny'
LAPAROTOMY,'surgical incision into the abdominal wall
IMBAUBA,'tropical American tree with large peltate leaves and hollow stems'
PANORAMA,'the visual percept of a region
WAVING,'the act of signaling by a movement of the hand'
MELANOMA,'any of several malignant neoplasms (usually of the skin) consisting of melanocytes'
MODICUM,'a small or moderate or token amount
CHOLESTEROL,'an animal sterol that is normally synthesized by the liver
MISSION,'an organization of missionaries in a foreign land sent to carry on religious work'
CHAIRMAN,'the officer who presides at the meetings of an organization
TRAVE,'a horizontal beam that extends across something'
FLATULENCY,'a state of excessive gas in the alimentary canal'
MEDIATION,'the act of intervening for the purpose of bringing about a settlement'
DUNKER,'a basketball player who is able to make dunk shots'
PHYLLOCLAD,'a flattened stem resembling and functioning as a leaf'
WADERS,'waterproof hip boots (sometimes extending to the chest) worn by anglers'
PIPECLAY,'fine white clay used in making tobacco pipes and pottery and in whitening leather'
MORTAR,'a muzzle-loading high-angle gun with a short barrel that fires shells at high elevations for a short range'
DISSILIENCE,'the emergence of seeds as seed pods burst open when they are ripe'
REVISIONISM,'a moderate evolutionary form of Marxism'
OMELET,'beaten eggs or an egg mixture cooked until just set
FAITH,'a strong belief in a supernatural power or powers that control human destiny
PHOTOPIGMENT,'a special pigment found in the rods and cones of the retina'
PIGGERY,'a farm where pigs are raised or kept'
DRYWALL,'a wide flat board used to cover walls or partitions
PAYCHECK,'a check issued in payment of wages or salary'
IMPASSE,'a situation in which no progress can be made or no advancement is possible
DOSSEL,'an ornamental hanging of rich fabric hung behind the altar of a church or at the sides of a chancel'
